,song,artist,followers,rank,song_popularity,genres
0,Hayloft,Mother Mother,2678649,1,84,"['indie pop', 'vancouver indie']"
2,I Threw Glass at My Friend's Eyes and Now I'm on Probation,Destroy Boys,252523,3,71,"['indie pop', 'oakland indie']"
3,505,Arctic Monkeys,14172860,4,87,"['garage rock', 'permanent wave', 'rock', 'sheffield indie']"
5,Sweater Weather,The Neighbourhood,8590503,6,95,"['modern alternative rock', 'modern rock', 'pop', 'shimmer pop']"
8,Daisy,Ashnikko,1647363,9,76,"['electropop', 'escape room', 'pop']"
9,3 Musketeers,NextYoungin,31450,10,71,['viral rap']
10,The Bakery,Melanie Martinez,13298424,11,61,"['alt z', 'electropop', 'pop']"
13,Casual Affair,Panic! At The Disco,11263470,14,59,"['modern rock', 'rock']"
14,bad idea!,girl in red,4764697,15,82,"['bedroom pop', 'bubblegrunge', 'indie pop', 'norwegian indie', 'pop']"
15,Teenagers,My Chemical Romance,6728590,16,86,"['emo', 'pop punk', 'rock']"
16,parents,YUNGBLUD,1974729,17,73,"['british indie rock', 'modern rock', 'pop', 'rock']"
17,Prom Queen,Beach Bunny,857160,18,82,"['bubblegrunge', 'chicago indie', 'indie pop']"
18,Mr Loverman,Ricky Montgomery,1081058,19,1,"['indie pop', 'la indie', 'pop']"
19,Meant to Be Yours,Ryan McCartan,27938,20,76,"['broadway', 'hollywood', 'show tunes']"
22,money machine,100 gecs,457603,23,71,"['hyperpop', 'proto-hyperpop']"
24,Still Don't Know My Name,Labrinth,2246276,25,88,"['indie poptimism', 'pop']"
25,Bubblegum Bitch,MARINA,3553707,26,48,"['art pop', 'dance pop', 'electropop', 'metropopolis', 'pop', 'uk alternative pop']"
28,Empire,Nefera DeNile,2045,29,58,[]
31,Sofia,Clairo,3191854,32,85,"['bedroom pop', 'indie pop', 'pop']"
32,Discord,The Living Tombstone,1634614,33,74,['fnaf']
33,Little Talks,Of Monsters and Men,3335323,34,85,"['folk-pop', 'metropopolis', 'modern alternative rock', 'modern rock', 'pop rock', 'stomp and holler']"
35,Never Ever Getting Rid of Me,Christopher Fitzgerald,7657,36,71,"['broadway', 'hollywood', 'show tunes']"
39,Take Me to Church,Hozier,5105088,40,81,"['irish singer-songwriter', 'pop']"
40,Washington on Your Side,Leslie Odom Jr.,210373,41,67,"['broadway', 'hollywood', 'show tunes', 'vocal jazz']"
41,Sex with a Ghost,Teddy Hyde,57815,42,0,"['indie pop', 'modern indie pop']"
44,Touch You,遠野高志,74509,45,72,['yaoi']
45,Ain't No Rest for the Wicked,Cage The Elephant,2846250,46,78,"['modern alternative rock', 'modern rock', 'punk blues', 'rock']"
46,Bang!,AJR,2164438,47,63,"['modern rock', 'pop rap']"
47,Hugh Hefner,ppcocaine,404698,48,65,['viral rap']
48,Michelle,Sir Chloe,439788,49,78,['indie pop']
52,Rehab,Amy Winehouse,7790655,53,68,"['british soul', 'indie r&b', 'neo soul']"
54,Classic,MKTO,968464,55,87,"['dance pop', 'pop', 'pop rap', 'pop rock', 'post-teen pop']"
55,Can't Hold Us (feat. Ray Dalton),Macklemore & Ryan Lewis,2571475,56,87,"['dance pop', 'pop', 'pop rap', 'seattle hip hop']"
56,Hollaback Girl,Gwen Stefani,5271172,57,75,"['dance pop', 'hip pop', 'pop', 'post-teen pop', 'urban contemporary']"
57,You're The One That I Want - From “Grease”,John Travolta,88652,58,78,['hollywood']
58,WAP (feat. Megan Thee Stallion),Cardi B,19638648,59,86,"['dance pop', 'pop', 'pop rap', 'rap']"
59,Bet On It,Troy,57437,60,67,"['hollywood', 'pop', 'post-teen pop']"
60,Screw Loose,Alli Mauzey,338,61,54,[]
62,Migraine,Twenty One Pilots,22219256,63,71,"['modern rock', 'rock']"
65,The Real Slim Shady,Eminem,54274838,66,92,"['detroit hip hop', 'hip hop', 'rap']"
69,If U Seek Amy,Britney Spears,10679952,70,75,"['dance pop', 'pop', 'post-teen pop']"
71,wish you were gay,Billie Eilish,59976812,72,80,"['art pop', 'electropop', 'pop']"
75,Heart Of Glass (Live from the iHeart Festival),Miley Cyrus,17830032,76,74,"['dance pop', 'pop', 'post-teen pop']"
80,Falling Down - Bonus Track,Lil Peep,8903611,81,85,"['emo rap', 'lgbtq+ hip hop']"
81,Ophelia,The Lumineers,4675225,82,80,"['folk-pop', 'pop', 'pop rock', 'stomp and holler']"
82,River,Bishop Briggs,745687,83,80,"['modern alternative rock', 'modern rock', 'pop']"
87,Jocelyn Flores,XXXTENTACION,35670804,88,89,"['emo rap', 'miami hip hop']"
89,Killer Queen,Queen,40629622,90,1,"['classic rock', 'glam rock', 'rock']"
96,Rät,Penelope Scott,691771,97,80,"['alt z', 'indie pop', 'modern indie pop']"
